iter	Passed	Remaining
0	158	158686
1	166	83155
2	178	59217
3	181	45266
4	184	36794
5	188	31292
6	195	27709
7	200	24811
8	215	23697
9	222	22010
10	233	21008
11	238	19646
12	244	18528
13	248	17529
14	252	16611
15	257	15838
16	270	15662
17	276	15096
18	280	14472
19	283	13909
20	292	13641
21	298	13280
22	303	12899
23	311	12652
24	320	12504
25	333	12506
26	338	12212
27	342	11900
28	347	11642
29	353	11444
30	358	11192
31	361	10933
32	370	10854
33	380	10801
34	388	10702
35	396	10627
36	402	10463
37	406	10283
38	415	10247
39	425	10223
40	438	10266
41	449	10244
42	478	10657
43	462	10051
44	490	1039945	478	9927
4646	509	10347	47	517	1048	448	527	149	5149	536	50	52050	548	10214
51	560	10216
52	568	10149
53	577	10108
54	587	10087
55	596	10057
56	602	9960
57	615	10003
58	621	9909
59	630	9877
60	640	9861
61	651	9851
62	658	9791
63	665	9734
64	677	9748
65	689	9750
66	697	9716
67	707	9695
68	715	9657
69	722	9602
70	730	9554
71	739	9528
72	743	9440
73	748	9367
74	755	9320
75	762	9276
76	771	9245
77	773	9147
78	780	9095
79	787	9050
80	794	9011881	806	9024
82	817	9036
83	823	8975
84	832	8962885	838	8915886	846	8885887	860	8917
88	872	8929
89	879	8892
90	889	8884
91	897	8857
92	907	8846
93	915	8825
94	921	8781
95	928	8740
96	935	8706
97	942	8672
98	948	8629
99	954	8591
100	964	8581
101	972	8560
102	984	8574
103	996	8585
104	1007	8585
105	1011	8531
106	1018	8499
107	1026	8477
108	1035	8465
109	1043	8443
110	1051	8418
111	1060	8405
112	1063	8351
113	1072	8334
114	1081	83116115	1089	82117116	1096	82118117	1107	82119118	1113	82120119	1124	82121120	1132	82122121	1142	82123122	1148	81124123	1157	81125	1150	7976
126	1163	7997
127126	1180	81128127	1189	81129128	1194	80130129	1202	80131	1196	7865
132	1204	7853
133	1211	7828
134133	1227	79135134	1231	78136135	1240	78137136	1244	78138137	1255	78139138	1260	78140139	1267	77141140	1271	77142141	1276	77143142	1281	76144143	1286	76145144	1297	76146145	1307	76147146	1312	76148147	1318	75149	1317	7463
150	1322	7438
151	1329	7417
152	1337	7406
153152	1355	75154153	1367	75155	1360	7357
156155	1379	74157	1374	7323
158	1389	7348
159	1396	7334
160	1405	7326
161	1412	7304
162	1419	7290
163	1425	7265
164	1435	7264
165	1448	7275
166	1455	7261
167	1463	7250
168	1475	7255
169	1482	7237
170	1490	7223
171	1496	7203
172	1507	7204
173	1515	7193
174	1525	7190
175	1532	7176
176	1539	7160
177	1552	7168
178	1559	7152
179	1567	7139
180	1571	7110
181	1578	7093
182	1589	7095
183	1595	7074
184	1604	7066
185	1616	7075
186	1624	7064
187	1634	7058
188	1640	7037
189	1653	7047
190	1659	7030
191	1668	7020
192	1676	7008
193	1681	6985
194	1689	6976
195	1699	6971
196	1706	6955
197	1716	6952
198	1725	6945
199	1730	6920
200	1738	6909
